
GrupoA

~/ensino/private/comp/e2/GrupoA ~/ensino/private/comp/e2
mkdir -p ./build
bison  --defines=./build/parser.h --output=./build/parser.c src/parser.y
flex -i -I -c -o build/lex_scanner.c ./src/scanner.l
gcc    -c -o build/lex_scanner.o build/lex_scanner.c
gcc    -c -o build/parser.o build/parser.c
gcc -g -Wall -I./include -I./build -lfl -c -o build/main.o src/main.c
gcc -g -Wall -I./include -I./build -lfl -o etapa2 build/lex_scanner.o build/parser.o build/main.o
GrupoA - asl149 - 0 - ""
GrupoA - asl150 - 1 - "'syntax error, unexpected TK_LIT_INT, expecting ';'' at line 4 "
GrupoA - asl151 - 0 - ""
GrupoA - asl152 - 1 - "'syntax error, unexpected ';', expecting TK_IDENTIFICADOR' at line 3 "
GrupoA - asl153 - 1 - "'syntax error, unexpected TK_OC_LE, expecting ';'' at line 3 "
GrupoA - asl154 - 1 - "'syntax error, unexpected ',', expecting ';'' at line 3 "
GrupoA - asl155 - 1 - "'syntax error, unexpected TK_IDENTIFICADOR, expecting ';'' at line 3 "
GrupoA - asl156 - 1 - "'syntax error, unexpected TK_IDENTIFICADOR, expecting ';'' at line 3 "
GrupoA - asl157 - 0 - ""
GrupoA - asl158 - 0 - ""
GrupoA - asl159 - 0 - ""
GrupoA - asl160 - 0 - ""
GrupoA - asl161 - 0 - ""
GrupoA - asl162 - 0 - ""
GrupoA - asl163 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 4 "
GrupoA - asl164 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 4 "
GrupoA - asl165 - 1 - "'syntax error, unexpected ';', expecting ':'' at line 4 "
GrupoA - asl166 - 0 - ""
GrupoA - asl167 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 4 "
GrupoA - asl168 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 8 "
GrupoA - asl169 - 1 - "'syntax error, unexpected TK_LIT_INT, expecting ';'' at line 4 "
~/ensino/private/comp/e2

GrupoB

~/ensino/private/comp/e2/GrupoB ~/ensino/private/comp/e2
bison -d parser.y
parser.y: warning: 79 shift/reduce conflicts [-Wconflicts-sr]
parser.y: note: rerun with option '-Wcounterexamples' to generate conflict counterexamples
flex scanner.l
gcc -c lex.yy.c -lfl
gcc -c main.c parser.tab.c
gcc lex.yy.o main.o parser.tab.o -o etapa2 -lfl
GrupoB - asl01 - 0 - ""
GrupoB - asl02 - 0 - ""
GrupoB - asl03 - 0 - ""
GrupoB - asl04 - 0 - ""
GrupoB - asl05 - 0 - ""
GrupoB - asl06 - 0 - ""
GrupoB - asl07 - 0 - ""
GrupoB - asl08 - 0 - ""
GrupoB - asl09 - 1 - "syntax error "
GrupoB - asl10 - 1 - "syntax error "
GrupoB - asl11 - 1 - "syntax error "
GrupoB - asl12 - 1 - "syntax error "
GrupoB - asl13 - 1 - "syntax error "
GrupoB - asl14 - 1 - "syntax error "
GrupoB - asl15 - 1 - "syntax error "
GrupoB - asl16 - 1 - "syntax error "
GrupoB - asl17 - 1 - "syntax error "
GrupoB - asl18 - 1 - "syntax error "
GrupoB - asl19 - 1 - "syntax error "
GrupoB - asl20 - 1 - "syntax error "
GrupoB - asl21 - 1 - "syntax error "
GrupoB - asl22 - 1 - "syntax error "
GrupoB - asl23 - 1 - "syntax error "
GrupoB - asl24 - 1 - "syntax error "
GrupoB - asl25 - 0 - ""
GrupoB - asl26 - 1 - "syntax error "
GrupoB - asl27 - 0 - ""
GrupoB - asl28 - 0 - ""
GrupoB - asl29 - 1 - "syntax error "
GrupoB - asl30 - 0 - ""
GrupoB - asl31 - 0 - ""
GrupoB - asl32 - 0 - ""
GrupoB - asl33 - 0 - ""
GrupoB - asl34 - 1 - "syntax error "
GrupoB - asl35 - 0 - ""
GrupoB - asl36 - 0 - ""
GrupoB - asl37 - 0 - ""
GrupoB - asl38 - 0 - ""
GrupoB - asl39 - 0 - ""
GrupoB - asl40 - 1 - "syntax error "
GrupoB - asl41 - 0 - ""
GrupoB - asl42 - 0 - ""
GrupoB - asl43 - 0 - ""
GrupoB - asl44 - 0 - ""
GrupoB - asl45 - 1 - "syntax error "
GrupoB - asl46 - 0 - ""
GrupoB - asl47 - 0 - ""
GrupoB - asl48 - 0 - ""
GrupoB - asl49 - 1 - "syntax error "
GrupoB - asl50 - 0 - ""
GrupoB - asl51 - 0 - ""
GrupoB - asl52 - 1 - "syntax error "
GrupoB - asl53 - 0 - ""
GrupoB - asl54 - 0 - ""
GrupoB - asl55 - 1 - "syntax error "
GrupoB - asl56 - 0 - ""
GrupoB - asl57 - 0 - ""
GrupoB - asl58 - 0 - ""
GrupoB - asl59 - 0 - ""
GrupoB - asl60 - 0 - ""
GrupoB - asl61 - 1 - "syntax error "
GrupoB - asl62 - 0 - ""
GrupoB - asl63 - 0 - ""
GrupoB - asl64 - 1 - "syntax error "
GrupoB - asl65 - 0 - ""
GrupoB - asl66 - 0 - ""
GrupoB - asl67 - 1 - "syntax error "
GrupoB - asl68 - 1 - "syntax error "
GrupoB - asl69 - 1 - "syntax error "
GrupoB - asl70 - 1 - "syntax error "
GrupoB - asl71 - 1 - "syntax error "
GrupoB - asl72 - 1 - "syntax error "
GrupoB - asl73 - 1 - "syntax error "
GrupoB - asl74 - 1 - "syntax error "
GrupoB - asl75 - 1 - "syntax error "
GrupoB - asl76 - 0 - ""
GrupoB - asl77 - 0 - ""
GrupoB - asl78 - 1 - "syntax error "
GrupoB - asl79 - 0 - ""
GrupoB - asl80 - 0 - ""
GrupoB - asl81 - 0 - ""
GrupoB - asl82 - 1 - "syntax error "
GrupoB - asl83 - 1 - "syntax error "
GrupoB - asl84 - 1 - "syntax error "
GrupoB - asl85 - 1 - "syntax error "
GrupoB - asl86 - 0 - ""
GrupoB - asl87 - 1 - "syntax error "
GrupoB - asl88 - 1 - "syntax error "
GrupoB - asl89 - 1 - "syntax error "
GrupoB - asl90 - 1 - "syntax error "
GrupoB - asl91 - 1 - "syntax error "
GrupoB - asl92 - 1 - "syntax error "
GrupoB - asl93 - 1 - "syntax error "
GrupoB - asl94 - 1 - "syntax error "
GrupoB - asl95 - 1 - "syntax error "
GrupoB - asl96 - 1 - "syntax error "
GrupoB - asl97 - 1 - "syntax error "
GrupoB - asl98 - 1 - "syntax error "
GrupoB - asl99 - 1 - "syntax error "
GrupoB - asl100 - 1 - "syntax error "
GrupoB - asl101 - 1 - "syntax error "
GrupoB - asl102 - 1 - "syntax error "
GrupoB - asl103 - 0 - ""
GrupoB - asl104 - 1 - "syntax error "
GrupoB - asl105 - 1 - "syntax error "
GrupoB - asl106 - 1 - "syntax error "
GrupoB - asl107 - 1 - "syntax error "
GrupoB - asl108 - 1 - "syntax error "
GrupoB - asl109 - 1 - "syntax error "
GrupoB - asl110 - 1 - "syntax error "
GrupoB - asl111 - 1 - "syntax error "
GrupoB - asl112 - 1 - "syntax error "
GrupoB - asl113 - 1 - "syntax error "
GrupoB - asl114 - 0 - ""
GrupoB - asl115 - 1 - "syntax error "
GrupoB - asl116 - 1 - "syntax error "
GrupoB - asl117 - 1 - "syntax error "
GrupoB - asl118 - 1 - "syntax error "
GrupoB - asl119 - 1 - "syntax error "
GrupoB - asl120 - 0 - ""
GrupoB - asl121 - 1 - "syntax error "
GrupoB - asl122 - 1 - "syntax error "
GrupoB - asl123 - 1 - "syntax error "
GrupoB - asl124 - 1 - "syntax error "
GrupoB - asl125 - 1 - "syntax error "
GrupoB - asl126 - 1 - "syntax error "
GrupoB - asl127 - 1 - "syntax error "
